Hisseler;Milyon Tl
AVOD;-0,96
ACSEL;0,33
ADEL;31,8
ADESE;-4,38
AFYON;-31,47
AKENR;-81,08
AKBNK;1251,03
AKCNS;233,81
AKGUV;3,58
AKFGY;117,52
ATEKS;22,4
AKSGY;74,18
AKMGY;63,57
AKSA;198,26
AKSEN;153,29
AKGRT;40,19
AKSUE;0,57
ALCAR;32,05
ALGYO;128,31
ALARK;88,18
ALBRK;96,15
ALCTL;11,14
ALKA;28
ALKIM;48,43
AYCES;1,09
ANACM;-31,15
AEFES;1224,95
AGHOL;1263,14
ANHYT;54,26
ASUZU;13,85
ANSGR;56,53
ANELE;1,79
ARCLK;560,71
ARDYZ;0,59
ARENA;6,69
ARMDA;1,73
ARSAN;3,5
ASELS;-70,01
ATAGY;4,11
AGYO;8,53
AVISA;29,44
AVGYO;6,82
AVTUR;-4,95
AVHOL;-2,34
AYEN;35,5
AYGAZ;281,84
BAGFS;-74,74
BAKAB;13,07
BNTAS;0,13
BANVT;180,76
BTCIM;-37,25
BSOKE;-65,47
BAYRK;1,06
BERA;-7,03
BRKSN;-0,91
BJKAS;-14,27
BEYAZ;24,79
BLCYT;15,89
BIMAS;846,19
BRMEN;10,52
BIZIM;64,25
BRSAN;37,54
BRYAT;33,77
BFREN;16,15
BOSSA;29,86
BRISA;94,36
BURCE;-1,13
BURVA;-0,05
BUCIM;52,21
CRFSA;-0,66
CEOEM;3,4
CCOLA;604,12
CRDFA;24,85
CLEBI;88,65
CELHA;3,9
CEMAS;-7,44
CEMTS;19,54
CMBTN;0,1
CMENT;24,36
CIMSA;125,72
CUSAN;10,82
DAGI;1,48
DAGHL;0,06
DGATE;-6,63
DMSAS;2,61
DZGYO;6,14
DENCM;0,68
DERIM;2,8
DERAS;-1,21
DESA;14,03
DESPC;8,55
DEVA;2,82
DITAS;2,35
DOCO;248,61
DOBUR;4,52
DOHOL;149,79
DGKLB;9,34
DOGUB;-1,17
DGGYO;83,53
DOAS;283,69
DOKTA;55,77
DURDO;6,55
DYOBY;17,83
ECILC;126,07
ECZYT;40,13
EDIP;74,02
EGEEN;85,5
EGGUB;28,92
EGPRO;43,91
EGSER;22,75
EMKEL;2,25
EKGYO;-266,4
ENJSA;1119,76
ENKAI;2314,5
ERBOS;15,99
EREGL;2823,01
ERSU;0,51
ESCOM;-2,68
EUHOL;-5,85
FENER;-7,97
FLAP;0,73
FMIZP;16,7
FONET;0,59
FROTO;636,48
FORMT;-1,57
GSRAY;-42,62
GARAN;1465,67
GARFA;-75,25
GEDIK;28,05
GYHOL;19,23
GEDZA;7,45
GENTS;18,19
GEREL;-8,54
GLBMD;-3,41
GLYHO;58,42
GOODY;95,44
GOLTS;9,81
GOZDE;357,02
GSDDE;-7,13
GSDHO;151,56
GUBRF;257,25
GLRYH;-12,65
GUSGR;7,24
HLGYO;51,62
HATEK;2,19
HDFGS;8,24
HEKTS;-6,13
HUBVC;2,43
HURGZ;45,25
ICBCT;21,08
INFO;4,45
IEYHO;-12,27
IDEAS;0,75
IDGYO;-0,32
IHEVA;-15,22
IHLGM;-58,38
IHGZT;-8,15
IHLAS;-45,08
IHYAY;-19,47
INDES;40,89
INTEM;-9,6
IPEKE;568,8
ISDMR;1297,38
ISATR;0,04
ISBTR;0,05
ISCTR;1276,75
ISFIN;-402,53
ISGSY;18,6
ISGYO;213,57
ISMEN;194,42
ITTFH;-33,75
IZTAR;-0,02
IZMDC;-136,68
IZFAS;-1,89
JANTS;29,4
KFEIN;-4,85
KAPLM;1,97
KRDMA;22,77
KRDMB;11,32
KRDMD;73,94
KAREL;5,91
KARSN;-74,11
KRTEK;18,91
KARTN;32,4
KATMR;-18
KENT;50,64
KERVT;-17,94
KLGYO;94,84
KLMSN;-10,74
KCHOL;4096,36
KNFRT;4,9
KONYA;39,64
KORDS;97,56
KOZAL;668,74
KOZAA;572,51
KRGYO;-2,33
KRSTL;-3,88
KRONT;0,19
KUYAS;17,48
KUTPO;7,21
LIDFA;-13,57
LINK;1,03
LOGO;33,04
LKMNH;-1,4
LUKSK;3,24
MAKTK;-6,58
MARKA;-2,58
MAALT;4,07
MRSHL;0,49
MRGYO;-12,32
MARTI;3,47
MAVI;104,92
MEGAP;1,65
MNDRS;-6,27
MERKO;-2,83
METUR;1,96
METRO;-36,2
MEPET;9,75
MGROS;648,44
MIPAZ;21,69
MSGYO;13,11
MPARK;122,6
TIRE;2,3
NATEN;5,09
NTHOL;37,6
NETAS;-31,43
NIBAS;-4,55
NUHCM;173,66
NUGYO;27,34
ODAS;-267,33
OLMIP;-11,86
ORGE;6,21
OSMEN;7,29
OSTIM;1,66
OTKAR;51,54
OYAKC;64,87
OYLUM;-2,39
OZKGY;184,54
OZBAL;6,66
OZGYO;-8,11
OZRDN;-0,97
PAGYO;71,47
PAPIL;8,42
PRKME;37,11
PARSN;-31,1
PGSUS;869,7
PEKGY;0,59
PENGD;-3,8
PEGYO;1,84
PSDTC;5,01
PETKM;-62,66
PKENT;4,93
PETUN;42,33
PINSU;-10,2
PNSUT;35,03
PKART;3,9
POLHO;39,51
POLTK;4,23
PRZMA;-1,54
QNBFL;-528,94
QNBFB;559,21
RALYH;-2,99
RAYSG;7,64
RYGYO;170,91
RYSAS;5,29
RHEAG;-9,53
RODRG;-1,02
RTALB;-1,75
SAHOL;-1915,45
SAFKR;-0,81
SANEL;1,51
SANFM;0,26
SANKO;12,11
SAMAT;2,87
SARKY;32,32
SASA;-377,88
SAYAS;0,36
SEKUR;-0,89
SELEC;254,79
SRVGY;34,03
SEYKM;0,19
SILVR;1,9
SNGYO;61,26
SMART;0,39
SODA;268,28
SKTAS;49,42
SONME;3,83
SNPAM;0,61
SEKFK;-58,71
SKBNK;69,12
SISE;360,28
SOKM;144,54
HALKB;718,55
KLNMA;39,93
TSKB;119,29
TBORG;152,73
TATGD;27,92
TAVHL;1043,11
TKURU;-0,51
TEKTU;-17,14
TKFEN;597,03
TKNSA;47,04
TMPOL;-2,24
TGSAS;1,11
TOASO;572,77
TRGYO;924,9
TLMAN;24,7
TSPOR;-51,52
TRKCM;219,48
TDGYO;-3,55
TSGYO;29,07
TUCLK;2,3
TUKAS;-26,64
TRCAS;-1,1
TCELL;2611,08
TMSN;3,88
TUPRS;1564,26
THYAO;2876,54
PRKAB;20,82
TTKOM;3266,83
TTRAK;310,42
TURGG;-0,7
ULAS;1,98
ULUSE;54,78
ULUUN;24,88
USAK;-7,67
UTPYA;2,39
ULKER;316,95
VAKFN;-231,3
VKGYO;27,89
VAKBN;768,04
VAKKO;19,73
VANGD;-2,5
VERUS;29,5
VERTU;12,03
VESTL;284,25
VESBE;129,56
VKING;1,43
YKGYO;10,32
YKBNK;956,88
YAPRK;2,8
YATAS;22,41
YAYLA;-6,33
YGGYO;153,26
YGYO;-88,18
YYAPI;-21,28
YESIL;38,64
YKSLN;-2,28
YUNSA;11,83
ZOREN;253,68
